GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
maven,factory,ConnectionFactory,13,10,2,0,6,3,3,1,2,1
maven,dao,ProdutoDAO,135,131,19,13,51,44,15,6,2,3
maven,dao,VendedorDAO,155,165,21,11,54,51,17,4,2,3
maven,dao,ClienteDAO,141,151,17,7,49,49,13,4,2,3
maven,aplicacao,Main,16,3,0,0,16,1,1,1,1,1
maven,aplicacao,aplicacao,111,197,0,6,37,52,7,10,7,7
maven,model,Compra,62,0,2,0,20,0,12,0,11,0
maven,model,ItemCompra,17,0,0,0,7,0,5,0,5,0
maven,model,Vendedor,3,49,0,0,1,21,1,14,1,14
maven,model,Cliente,3,49,0,0,1,21,1,14,1,14
maven,model,Produto,3,28,0,0,1,12,1,8,1,8
